Calculating solvability percentage...

[Lower Bound, Upper Bound] | Solvable/Unsolvable/Intractable | Current seed | (Est. Confidence Interval: Continue/Re-eval)
--- Timeout = 500 milliseconds ---
[0.000, 100.000] | 0/0/0 | 0 | (N/A)
[0.000, 83.251] | 0/1/0 | 0 | (N/A)
[0.000, 70.978] | 0/2/0 | 1 | (N/A)
[0.000, 61.748] | 0/3/0 | 2 | (N/A)
[0.000, 54.596] | 0/4/0 | 3 | (N/A)
[0.000, 48.906] | 0/5/0 | 4 | (N/A)
[0.000, 44.279] | 0/6/0 | 5 | (N/A)
[0.000, 40.445] | 0/7/0 | 6 | (N/A)
[0.000, 37.218] | 0/8/0 | 7 | (N/A)
[0.000, 34.465] | 0/9/0 | 8 | (N/A)
[0.000, 32.090] | 0/10/0 | 9 | (N/A)
[0.000, 30.019] | 0/11/0 | 10 | (N/A)
[0.000, 28.199] | 0/12/0 | 11 | (N/A)
[0.000, 26.587] | 0/13/0 | 12 | (N/A)
[0.000, 25.148] | 0/14/0 | 13 | (N/A)
[0.000, 23.857] | 0/15/0 | 14 | (N/A)
[0.000, 22.692] | 0/16/0 | 15 | (N/A)
[0.000, 21.635] | 0/17/0 | 16 | (N/A)
[0.000, 20.672] | 0/18/0 | 17 | (N/A)
[0.000, 19.791] | 0/19/0 | 18 | (N/A)
[0.000, 18.982] | 0/20/0 | 19 | (N/A)
[0.000, 18.236] | 0/21/0 | 20 | (N/A)
[0.000, 17.547] | 0/22/0 | 21 | (N/A)
[0.000, 16.907] | 0/23/0 | 22 | (N/A)
[0.000, 16.313] | 0/24/0 | 23 | (N/A)
[0.000, 15.759] | 0/25/0 | 24 | (N/A)
[0.000, 15.242] | 0/26/0 | 25 | (N/A)
[0.000, 14.757] | 0/27/0 | 26 | (N/A)
[0.000, 14.302] | 0/28/0 | 27 | (N/A)
[0.000, 13.874] | 0/29/0 | 28 | (N/A)
[0.000, 13.472] | 0/30/0 | 29 | (N/A)
[0.000, 13.091] | 0/31/0 | 30 | (N/A)
[0.000, 12.732] | 0/32/0 | 31 | (N/A)
[0.000, 12.392] | 0/33/0 | 32 | (N/A)
[0.000, 12.070] | 0/34/0 | 33 | (N/A)
[0.000, 11.764] | 0/35/0 | 34 | (N/A)
[0.000, 11.473] | 0/36/0 | 35 | (N/A)
[0.000, 11.196] | 0/37/0 | 36 | (N/A)
[0.000, 10.932] | 0/38/0 | 37 | (N/A)
[0.000, 10.680] | 0/39/0 | 38 | (N/A)
[0.000, 10.440] | 0/40/0 | 39 | (N/A)
[0.000, 10.210] | 0/41/0 | 40 | (N/A)
[0.000, 9.990] | 0/42/0 | 41 | (N/A)
[0.000, 9.780] | 0/43/0 | 42 | (N/A)
[0.000, 9.578] | 0/44/0 | 43 | (N/A)
[0.000, 9.384] | 0/45/0 | 44 | (N/A)
[0.000, 9.198] | 0/46/0 | 45 | (N/A)
[0.000, 9.019] | 0/47/0 | 46 | (N/A)
[0.000, 8.847] | 0/48/0 | 47 | (N/A)
[0.000, 11.689] | 1/48/0 | 48 | (N/A)
[0.000, 11.475] | 1/49/0 | 49 | (N/A)
[0.000, 11.269] | 1/50/0 | 50 | (N/A)
[0.000, 11.070] | 1/51/0 | 51 | (N/A)
[0.000, 10.878] | 1/52/0 | 52 | (N/A)
[0.000, 10.693] | 1/53/0 | 53 | (N/A)
[0.000, 10.514] | 1/54/0 | 54 | (N/A)
[0.000, 10.340] | 1/55/0 | 55 | (N/A)
[0.000, 10.173] | 1/56/0 | 56 | (N/A)
[0.267, 12.414] | 2/56/0 | 57 | (N/A)
[0.259, 12.219] | 2/57/0 | 58 | (N/A)
[0.252, 12.031] | 2/58/0 | 59 | (N/A)
[0.245, 11.848] | 2/59/0 | 60 | (N/A)
[0.239, 11.671] | 2/60/0 | 61 | (N/A)
[0.232, 11.499] | 2/61/0 | 62 | (N/A)
[0.226, 11.332] | 2/62/0 | 63 | (N/A)
[0.221, 11.170] | 2/63/0 | 64 | (N/A)
[0.215, 11.012] | 2/64/0 | 65 | (N/A)
[0.210, 10.859] | 2/65/0 | 66 | (N/A)
[0.205, 10.710] | 2/66/0 | 67 | (N/A)
[0.200, 10.565] | 2/67/0 | 68 | (N/A)
[0.195, 10.424] | 2/68/0 | 69 | (N/A)
[0.191, 10.287] | 2/69/0 | 70 | (N/A)
[0.187, 10.153] | 2/70/0 | 71 | (N/A)
