Calculating solvability percentage...

[Lower Bound, Upper Bound] | Solvable/Unsolvable/Intractable | Current seed | (Est. Confidence Interval: Continue/Re-eval)
--- Timeout = 500 milliseconds ---
[0.000, 100.000] | 0/0/0 | 0 | (N/A)
[16.749, 100.000] | 1/0/0 | 0 | (N/A)
[9.453, 90.547] | 1/1/0 | 1 | (N/A)
[5.627, 79.756] | 1/2/0 | 2 | (N/A)
[15.004, 84.996] | 2/2/0 | 3 | (N/A)
[22.909, 88.402] | 3/2/0 | 4 | (N/A)
[29.574, 90.748] | 4/2/0 | 5 | (N/A)
[24.976, 84.248] | 4/3/0 | 6 | (N/A)
[30.375, 86.514] | 5/3/0 | 7 | (N/A)
[26.629, 81.158] | 5/4/0 | 8 | (N/A)
[31.160, 83.289] | 6/4/0 | 9 | (N/A)
[27.989, 85.020] | 6/4/1 | 10 | (47.129, 50.761)
[25.378, 80.738] | 6/5/1 | 11 | (45.717, 49.244)
[29.131, 82.405] | 7/5/1 | 12 | (43.444, 47.676)
[26.799, 78.660] | 7/6/1 | 13 | (41.760, 46.402)
[30.108, 80.250] | 8/6/1 | 14 | (39.967, 45.090)
[27.999, 81.629] | 8/6/2 | 15 | (44.036, 43.777)
--- Timeout doubled to 1000 ms. Re-evaluating intractable seeds ---
[-- re-eval --] | 1/0/0 | 10
[-- re-eval --] | 1/0/1 | 15
--- Re-evaluation complete ---
[33.151, 81.629] | 9/6/1 | 16 | (53.630, 44.578)
--- Timeout doubled to 2000 ms. Re-evaluating intractable seeds ---
[-- re-eval --] | 0/0/1 | 15
--- Re-evaluation complete ---
[33.151, 81.629] | 9/6/1 | 16 | (43.486, 44.578)
[35.954, 82.835] | 10/6/1 | 16 | (41.844, 43.098)
[33.697, 79.771] | 10/7/1 | 17 | (40.775, 42.486)
[31.704, 76.894] | 10/8/1 | 18 | (40.232, 41.762)
[29.929, 74.194] | 10/9/1 | 19 | (40.208, 40.971)
[32.366, 75.557] | 11/9/1 | 20 | (39.620, 40.000)
[34.649, 76.785] | 12/9/1 | 21 | (38.475, 39.037)
[36.791, 77.898] | 13/9/1 | 22 | (37.375, 38.092)
[38.803, 78.912] | 14/9/1 | 23 | (35.989, 37.169)
[40.696, 79.838] | 15/9/1 | 24 | (35.024, 36.273)
[38.924, 77.626] | 15/10/1 | 25 | (34.431, 35.943)
[37.301, 75.519] | 15/11/1 | 26 | (34.128, 35.556)
[39.052, 76.478] | 16/11/1 | 27 | (33.312, 34.826)
[37.538, 74.514] | 16/12/1 | 28 | (32.766, 34.459)
[39.182, 75.444] | 17/12/1 | 29 | (32.040, 33.803)
[37.764, 73.606] | 17/13/1 | 30 | (31.541, 33.456)
[39.313, 74.509] | 18/13/1 | 31 | (30.890, 32.862)
[40.789, 75.352] | 19/13/1 | 32 | (30.257, 32.277)
[42.198, 76.141] | 20/13/1 | 33 | (29.753, 31.703)
[43.544, 76.882] | 21/13/1 | 34 | (29.169, 31.142)
[44.830, 77.579] | 22/13/1 | 35 | (28.602, 30.593)
[43.462, 75.976] | 22/14/1 | 36 | (28.279, 30.419)
[44.689, 76.661] | 23/14/1 | 37 | (27.762, 29.915)
[45.865, 77.309] | 24/14/1 | 38 | (27.259, 29.423)
[46.994, 77.921] | 25/14/1 | 39 | (26.771, 28.941)
[48.078, 78.502] | 26/14/1 | 40 | (26.297, 28.471)
[49.119, 79.053] | 27/14/1 | 41 | (25.837, 28.013)
[47.823, 77.633] | 27/15/1 | 42 | (25.636, 27.939)
[48.826, 78.180] | 28/15/1 | 43 | (25.211, 27.513)
[47.598, 76.825] | 28/16/1 | 44 | (25.017, 27.431)
[48.565, 77.367] | 29/16/1 | 45 | (24.623, 27.034)
[49.498, 77.884] | 30/16/1 | 46 | (24.239, 26.645)
[50.397, 78.378] | 31/16/1 | 47 | (23.865, 26.265)
[51.266, 78.851] | 32/16/1 | 48 | (23.501, 25.893)
[52.106, 79.303] | 33/16/1 | 49 | (23.146, 25.530)
[52.918, 79.736] | 34/16/1 | 50 | (22.801, 25.174)
[53.703, 80.152] | 35/16/1 | 51 | (22.632, 24.828)
[54.462, 80.551] | 36/16/1 | 52 | (22.300, 24.489)
[53.314, 79.379] | 36/17/1 | 53 | (22.051, 24.502)
[54.054, 79.779] | 37/17/1 | 54 | (21.897, 24.182)
[52.958, 78.651] | 37/18/1 | 55 | (21.656, 24.183)
