Calculating solvability percentage...

[Lower Bound, Upper Bound] | (Solvable/Unsolvable/Intractable) | Current seed
[47.399, 64.088] | (80/63/1) | 143
[47.731, 64.350] | (81/63/1) | 144
[47.379, 63.954] | (81/64/1) | 145
[47.032, 63.564] | (81/65/1) | 146
[47.360, 63.824] | (82/65/1) | 147
[47.018, 63.439] | (82/66/1) | 148
[46.682, 63.058] | (82/67/1) | 149
[47.005, 63.317] | (83/67/1) | 150
[46.673, 62.942] | (83/68/1) | 151
[46.993, 63.199] | (84/68/1) | 152
[47.308, 63.451] | (85/68/1) | 153
[47.620, 63.701] | (86/68/1) | 154
[47.292, 63.333] | (86/69/1) | 155
[47.601, 63.580] | (87/69/1) | 156
[47.905, 63.823] | (88/69/1) | 157
[47.582, 63.461] | (88/70/1) | 158
[47.263, 63.103] | (88/71/1) | 159
[47.564, 63.345] | (89/71/1) | 160
[47.862, 63.584] | (90/71/1) | 161
[48.156, 63.820] | (91/71/1) | 162
[48.447, 64.053] | (92/71/1) | 163
[48.132, 63.702] | (92/72/1) | 164
[47.822, 63.355] | (92/73/1) | 165
[48.109, 63.587] | (93/73/1) | 166
[48.394, 63.816] | (94/73/1) | 167
[48.676, 64.041] | (95/73/1) | 168
[48.955, 64.264] | (96/73/1) | 169
[48.648, 63.924] | (96/74/1) | 170
[48.923, 64.146] | (97/74/1) | 171
[49.196, 64.364] | (98/74/1) | 172
[49.466, 64.580] | (99/74/1) | 173
[49.163, 64.246] | (99/75/1) | 174
[48.864, 63.915] | (99/76/1) | 175
[48.568, 63.587] | (99/77/1) | 176
[48.276, 63.263] | (99/78/1) | 177
[48.543, 63.480] | (100/78/1) | 178
[48.808, 63.693] | (101/78/1) | 179
[49.069, 63.905] | (102/78/1) | 180
[49.329, 64.113] | (103/78/1) | 181
[49.585, 64.320] | (104/78/1) | 182
[49.297, 64.002] | (104/79/1) | 183
[49.551, 64.207] | (105/79/1) | 184
[49.802, 64.409] | (106/79/1) | 185
[49.517, 64.097] | (106/80/1) | 186
[49.766, 64.297] | (107/80/1) | 187
[50.013, 64.496] | (108/80/1) | 188
[50.257, 64.692] | (109/80/1) | 189
[50.499, 64.887] | (110/80/1) | 190
[50.218, 64.579] | (110/81/1) | 191
[50.458, 64.772] | (111/81/1) | 192
[50.695, 64.963] | (112/81/1) | 193
[50.417, 64.660] | (112/82/1) | 194
[50.142, 64.360] | (112/83/1) | 195
[49.869, 64.062] | (112/84/1) | 196
[49.600, 63.767] | (112/85/1) | 197
[49.334, 63.475] | (112/86/1) | 198
[49.071, 63.185] | (112/87/1) | 199
[48.810, 62.898] | (112/88/1) | 200
[48.552, 62.614] | (112/89/1) | 201
[48.788, 62.807] | (113/89/1) | 202
[49.021, 62.999] | (114/89/1) | 203
[48.766, 62.718] | (114/90/1) | 204
[48.514, 62.908] | (114/90/2) | 205
[48.264, 62.630] | (114/91/2) | 206
[48.496, 62.819] | (115/91/2) | 207
[48.725, 63.006] | (116/91/2) | 208
[48.952, 63.191] | (117/91/2) | 209
[48.705, 62.917] | (117/92/2) | 210
[48.930, 63.100] | (118/92/2) | 211
[48.686, 62.829] | (118/93/2) | 212
[48.909, 63.011] | (119/93/2) | 213
[48.667, 62.743] | (119/94/2) | 214
[48.427, 62.477] | (119/95/2) | 215
[48.190, 62.212] | (119/96/2) | 216
[47.955, 61.950] | (119/97/2) | 217
[48.176, 62.133] | (120/97/2) | 218
[47.943, 61.873] | (120/98/2) | 219
[48.163, 62.055] | (121/98/2) | 220
[48.381, 62.234] | (122/98/2) | 221
[48.150, 61.978] | (122/99/2) | 222
[47.922, 61.723] | (122/100/2) | 223
[47.695, 61.471] | (122/101/2) | 224
[47.471, 61.220] | (122/102/2) | 225
[47.687, 61.400] | (123/102/2) | 226
[47.901, 61.578] | (124/102/2) | 227
[48.113, 61.754] | (125/102/2) | 228
[47.891, 61.506] | (125/103/2) | 229
[47.671, 61.261] | (125/104/2) | 230
[47.882, 61.436] | (126/104/2) | 231
[47.664, 61.193] | (126/105/2) | 232
[47.872, 61.367] | (127/105/2) | 233
[47.656, 61.127] | (127/106/2) | 234
[47.863, 61.300] | (128/106/2) | 235
[48.069, 61.471] | (129/106/2) | 236
[48.273, 61.641] | (130/106/2) | 237
[48.475, 61.809] | (131/106/2) | 238
[48.676, 61.976] | (132/106/2) | 239
[48.875, 62.141] | (133/106/2) | 240
[49.073, 62.305] | (134/106/2) | 241
[49.269, 62.468] | (135/106/2) | 242
[49.055, 62.231] | (135/107/2) | 243
[49.249, 62.393] | (136/107/2) | 244
[49.037, 62.159] | (136/108/2) | 245
[48.826, 61.927] | (136/109/2) | 246
[49.020, 62.088] | (137/109/2) | 247
[49.211, 62.247] | (138/109/2) | 248
[49.003, 62.017] | (138/110/2) | 249
[49.193, 62.176] | (139/110/2) | 250
[49.382, 62.333] | (140/110/2) | 251
[49.175, 62.105] | (140/111/2) | 252
[49.363, 62.261] | (141/111/2) | 253
[49.157, 62.036] | (141/112/2) | 254
[48.954, 61.812] | (141/113/2) | 255
[48.752, 61.589] | (141/114/2) | 256
[48.552, 61.368] | (141/115/2) | 257
[48.738, 61.524] | (142/115/2) | 258
[48.540, 61.305] | (142/116/2) | 259
[48.343, 61.088] | (142/117/2) | 260
[48.148, 60.872] | (142/118/2) | 261
[48.333, 61.028] | (143/118/2) | 262
[48.516, 61.182] | (144/118/2) | 263
[48.323, 60.968] | (144/119/2) | 264
[48.130, 60.756] | (144/120/2) | 265
[47.940, 60.545] | (144/121/2) | 266
[47.751, 60.335] | (144/122/2) | 267
[47.563, 60.127] | (144/123/2) | 268
[47.745, 60.281] | (145/123/2) | 269
[47.926, 60.435] | (146/123/2) | 270
[47.740, 60.229] | (146/124/2) | 271
[47.556, 60.024] | (146/125/2) | 272
[47.735, 60.176] | (147/125/2) | 273
[47.552, 59.973] | (147/126/2) | 274
[47.370, 59.771] | (147/127/2) | 275
[47.548, 59.923] | (148/127/2) | 276
[47.368, 59.723] | (148/128/2) | 277
[47.545, 59.874] | (149/128/2) | 278
[47.721, 60.024] | (150/128/2) | 279
[47.541, 59.825] | (150/129/2) | 280
[47.716, 59.974] | (151/129/2) | 281
[47.538, 59.777] | (151/130/2) | 282
[47.362, 59.581] | (151/131/2) | 283
[47.186, 59.386] | (151/132/2) | 284
[47.013, 59.193] | (151/133/2) | 285
[46.840, 59.001] | (151/134/2) | 286
[47.013, 59.150] | (152/134/2) | 287
[47.185, 59.298] | (153/134/2) | 288
[47.357, 59.444] | (154/134/2) | 289
[47.185, 59.254] | (154/135/2) | 290
[47.355, 59.400] | (155/135/2) | 291
[47.524, 59.545] | (156/135/2) | 292
[47.692, 59.689] | (157/135/2) | 293
[47.859, 59.832] | (158/135/2) | 294
[48.024, 59.974] | (159/135/2) | 295
[47.854, 59.786] | (159/136/2) | 296
[47.685, 59.598] | (159/137/2) | 297
