Calculating solvability percentage...
[Lower Bound, Upper Bound] | (Solvable/Unsolvable/Intractable) | Current seed
[80.231, 91.468] | (125/19/0) | 143
[80.360, 91.528] | (126/19/0) | 144
[80.489, 91.588] | (127/19/0) | 145
[80.615, 91.646] | (128/19/0) | 146
[80.740, 91.704] | (129/19/0) | 147
[80.101, 91.215] | (129/20/0) | 148
[79.474, 90.728] | (129/21/0) | 149
[79.604, 90.791] | (130/21/0) | 150
[79.731, 90.853] | (131/21/0) | 151
[79.858, 90.914] | (132/21/0) | 152
[79.982, 90.975] | (133/21/0) | 153
[80.105, 91.035] | (134/21/0) | 154
[79.504, 90.565] | (134/22/0) | 155
[79.629, 90.627] | (135/22/0) | 156
[79.752, 90.688] | (136/22/0) | 157
[79.873, 90.748] | (137/22/0) | 158
[79.993, 90.807] | (138/22/0) | 159
[80.112, 90.866] | (139/22/0) | 160
[80.229, 90.923] | (140/22/0) | 161
[80.345, 90.980] | (141/22/0) | 162
[80.459, 91.037] | (142/22/0) | 163
[80.572, 91.092] | (143/22/0) | 164
[80.684, 91.147] | (144/22/0) | 165
[80.795, 91.202] | (145/22/0) | 166
[80.904, 91.255] | (146/22/0) | 167
[81.012, 91.308] | (147/22/0) | 168
[81.119, 91.361] | (148/22/0) | 169
[80.565, 90.929] | (148/23/0) | 170
[80.673, 90.983] | (149/23/0) | 171
[80.780, 91.036] | (150/23/0) | 172
[80.885, 91.089] | (151/23/0) | 173
[80.347, 90.666] | (151/24/0) | 174
[80.454, 90.720] | (152/24/0) | 175
[79.926, 90.302] | (152/25/0) | 176
[80.034, 90.357] | (153/25/0) | 177
[80.140, 90.413] | (154/25/0) | 178
[80.246, 90.467] | (155/25/0) | 179
[80.350, 90.521] | (156/25/0) | 180
[80.454, 90.574] | (157/25/0) | 181
[80.556, 90.627] | (158/25/0) | 182
[80.657, 90.679] | (159/25/0) | 183
[80.152, 90.277] | (159/26/0) | 184
[80.254, 90.331] | (160/26/0) | 185
[80.355, 90.384] | (161/26/0) | 186
[80.456, 90.436] | (162/26/0) | 187
[80.555, 90.488] | (163/26/0) | 188
[80.653, 90.539] | (164/26/0) | 189
[80.750, 90.590] | (165/26/0) | 190
[80.846, 90.640] | (166/26/0) | 191
[80.942, 90.690] | (167/26/0) | 192
